dataset,missing_rate,model,n_runs,seeds,train_size_min,train_size_max,accuracy_mean,accuracy_std,accuracy_drop_mean,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_drop_mean,macro_f1_mean,macro_f1_std,macro_f1_drop_mean,fit_seconds_median,predict_seconds_median,total_seconds_median
adult,0.0,LightGBM,1,42,2048,2048,0.8508,0.0,0.0,0.7692,0.0,0.0,0.7835,0.0,0.0,0.0979,0.1061,0.204
adult,0.0,TabICL,1,42,2048,2048,0.8556,0.0,0.0,0.7673,0.0,0.0,0.7863,0.0,0.0,0.4775,1.9995,2.4771
adult,0.0,TabPFN v2,1,42,2048,2048,0.8552,0.0,0.0,0.7707,0.0,0.0,0.7876,0.0,0.0,0.265,4.6577,4.9227
adult,0.0,XGBoost,1,42,2048,2048,0.8603,0.0,0.0,0.7793,0.0,0.0,0.7959,0.0,0.0,0.305,0.0466,0.3516
adult,0.1,LightGBM,1,42,2048,2048,0.8418,0.0,0.0089,0.7549,0.0,0.0144,0.7695,0.0,0.014,0.0897,0.1132,0.2028
adult,0.1,TabICL,1,42,2048,2048,0.8542,0.0,0.0013,0.7616,0.0,0.0057,0.7823,0.0,0.004,0.4765,1.952,2.4285
adult,0.1,TabPFN v2,1,42,2048,2048,0.8525,0.0,0.0027,0.7628,0.0,0.0079,0.7816,0.0,0.0061,0.1508,3.6296,3.7803
adult,0.1,XGBoost,1,42,2048,2048,0.8525,0.0,0.0078,0.7663,0.0,0.013,0.7834,0.0,0.0125,0.1372,0.046,0.1833
adult,0.3,LightGBM,1,42,2048,2048,0.8255,0.0,0.0253,0.7213,0.0,0.048,0.7389,0.0,0.0446,0.0862,0.1153,0.2015
adult,0.3,TabICL,1,42,2048,2048,0.8393,0.0,0.0163,0.7378,0.0,0.0295,0.7581,0.0,0.0282,0.4152,1.9905,2.4057
adult,0.3,TabPFN v2,1,42,2048,2048,0.8337,0.0,0.0215,0.7227,0.0,0.048,0.745,0.0,0.0426,0.1358,3.6214,3.7572
adult,0.3,XGBoost,1,42,2048,2048,0.8316,0.0,0.0287,0.7243,0.0,0.055,0.7447,0.0,0.0512,0.1078,0.0495,0.1573
