dataset,scenario,model,n_runs,seeds,train_size_min,train_size_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,fit_seconds_median,predict_seconds_median,total_seconds_median
adult,control_10k,LightGBM,5,"42,43,44,45,46",10000,10000,0.8692,0.0014,0.8677,0.8712,0.7934,0.0026,0.7895,0.7963,0.8097,0.0018,0.8086,0.8128,0.2248,0.0897,0.3147
adult,control_10k,TabICL,5,"42,43,44,45,46",10000,10000,0.8681,0.0026,0.864,0.8703,0.7909,0.0059,0.7856,0.8003,0.8077,0.0043,0.8018,0.8127,0.5156,4.6218,5.099
adult,control_10k,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.8614,0.0031,0.8561,0.8641,0.7789,0.0075,0.7679,0.786,0.7966,0.0058,0.787,0.8017,0.3827,12.7459,13.1286
adult,control_10k,XGBoost,5,"42,43,44,45,46",10000,10000,0.8698,0.0022,0.8671,0.8727,0.7887,0.0032,0.7851,0.7927,0.8082,0.0028,0.8043,0.8108,0.3663,0.0492,0.4186
adult,full_train_reference,LightGBM,5,"42,43,44,45,46",39073,39073,0.8752,0.0025,0.8721,0.8781,0.8013,0.0041,0.7968,0.8079,0.8183,0.0036,0.8138,0.8236,0.7528,0.0961,0.8489
adult,full_train_reference,TabICL,5,"42,43,44,45,46",39073,39073,0.8707,0.0021,0.8677,0.8729,0.7991,0.0101,0.7891,0.8113,0.8133,0.0028,0.81,0.8171,0.736,29.0095,29.7518
adult,full_train_reference,TabPFN v2,5,"42,43,44,45,46",39073,39073,0.8633,0.0023,0.8597,0.8654,0.7778,0.0062,0.7682,0.7846,0.7977,0.0048,0.79,0.8026,1.3818,81.7685,83.1503
adult,full_train_reference,XGBoost,5,"42,43,44,45,46",39073,39073,0.8743,0.0033,0.8695,0.8781,0.7953,0.006,0.7868,0.8035,0.815,0.0054,0.8071,0.8218,1.1792,0.0507,1.2288
bank_marketing,control_10k,LightGBM,5,"42,43,44,45,46",10000,10000,0.9044,0.0014,0.9026,0.9063,0.7092,0.0042,0.7048,0.7158,0.7367,0.0023,0.7338,0.7397,0.2276,0.0864,0.3133
bank_marketing,control_10k,TabICL,5,"42,43,44,45,46",10000,10000,0.9093,0.0021,0.9062,0.9116,0.7397,0.0079,0.7322,0.7522,0.7606,0.0057,0.7566,0.769,0.4987,4.5409,5.0556
bank_marketing,control_10k,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.9093,0.0013,0.9079,0.9114,0.7215,0.0107,0.7027,0.7286,0.7504,0.0077,0.7369,0.7564,0.4045,12.8019,13.1897
bank_marketing,control_10k,XGBoost,5,"42,43,44,45,46",10000,10000,0.904,0.0016,0.9017,0.9061,0.7019,0.0055,0.6964,0.7106,0.7315,0.0038,0.727,0.7368,0.292,0.0455,0.3425
bank_marketing,full_train_reference,LightGBM,5,"42,43,44,45,46",36168,36168,0.9083,0.0015,0.9059,0.91,0.7273,0.0069,0.7179,0.7361,0.7524,0.0053,0.7439,0.7573,0.6361,0.0841,0.7239
bank_marketing,full_train_reference,TabICL,5,"42,43,44,45,46",36168,36168,0.9119,0.0019,0.9093,0.9135,0.7599,0.0059,0.7527,0.7687,0.7745,0.0017,0.7725,0.7765,0.7404,19.9448,20.6253
bank_marketing,full_train_reference,TabPFN v2,5,"42,43,44,45,46",36168,36168,0.911,0.0019,0.908,0.9128,0.7209,0.0024,0.7167,0.7231,0.7523,0.0024,0.7488,0.755,1.3311,78.8153,80.1081
bank_marketing,full_train_reference,XGBoost,5,"42,43,44,45,46",36168,36168,0.9083,0.0017,0.9053,0.9097,0.7184,0.0055,0.7131,0.727,0.7472,0.0048,0.7403,0.7531,0.8445,0.0487,0.8925
