dataset,scenario,model,n_runs,seeds,train_size_min,train_size_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,fit_seconds_median,predict_seconds_median,total_seconds_median
adult,control_10k,LightGBM,5,"42,43,44,45,46",10000,10000,0.8692,0.0014,0.8677,0.8712,0.2344,0.0995,0.33
adult,control_10k,TabICL,5,"42,43,44,45,46",10000,10000,0.8681,0.0026,0.864,0.8703,0.5545,4.3102,4.8531
adult,control_10k,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.8614,0.0031,0.8561,0.8641,0.3911,11.609,11.9762
adult,control_10k,XGBoost,5,"42,43,44,45,46",10000,10000,0.8698,0.0022,0.8671,0.8727,0.4003,0.0501,0.454
adult,full_train_reference,LightGBM,5,"42,43,44,45,46",39073,39073,0.8752,0.0025,0.8721,0.8781,0.8333,0.1044,0.9332
adult,full_train_reference,TabICL,5,"42,43,44,45,46",39073,39073,0.8707,0.0021,0.8677,0.8729,0.8607,29.86,30.6286
adult,full_train_reference,TabPFN v2,5,"42,43,44,45,46",39073,39073,0.8633,0.0023,0.8597,0.8654,1.821,79.8174,81.782
adult,full_train_reference,XGBoost,5,"42,43,44,45,46",39073,39073,0.8743,0.0033,0.8695,0.8781,1.2654,0.0583,1.3263
bank_marketing,control_10k,LightGBM,5,"42,43,44,45,46",10000,10000,0.9044,0.0014,0.9026,0.9063,0.2597,0.0942,0.3541
bank_marketing,control_10k,TabICL,5,"42,43,44,45,46",10000,10000,0.9093,0.0021,0.9062,0.9116,0.6112,4.7736,5.4517
bank_marketing,control_10k,TabPFN v2,5,"42,43,44,45,46",10000,10000,0.9093,0.0013,0.9079,0.9114,0.5284,12.9787,13.78
bank_marketing,control_10k,XGBoost,5,"42,43,44,45,46",10000,10000,0.904,0.0016,0.9017,0.9061,0.3299,0.0557,0.3834
bank_marketing,full_train_reference,LightGBM,5,"42,43,44,45,46",36168,36168,0.9083,0.0015,0.9059,0.91,0.6443,0.0835,0.7248
bank_marketing,full_train_reference,TabICL,5,"42,43,44,45,46",36168,36168,0.9119,0.0019,0.9093,0.9135,0.798,21.7999,22.6174
bank_marketing,full_train_reference,TabPFN v2,5,"42,43,44,45,46",36168,36168,0.911,0.0019,0.908,0.9128,1.7257,76.1499,77.9107
bank_marketing,full_train_reference,XGBoost,5,"42,43,44,45,46",36168,36168,0.9083,0.0017,0.9053,0.9097,0.8514,0.0474,0.9002
