dataset,strategy,strategy_display,budget,model,n_runs,seeds,requested_budget,requested_budget_min,requested_budget_max,actual_support_size,actual_support_size_min,actual_support_size_max,support_class_counts,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,fit_seconds_median,predict_seconds_median,total_seconds_median,selection_seconds_median,end_to_end_seconds_median
adult,balanced_prototype_retrieval,Balanced Prototype Retrieval,2048,TabICL,3,"42,43,44",2048,2048,2048,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",0.7336,0.0068,0.7281,0.7412,0.7684,0.0057,0.7643,0.7749,0.7002,0.0065,0.6951,0.7075,0.2908,1.7093,2.0001,0.1848,2.1781
adult,balanced_prototype_retrieval,Balanced Prototype Retrieval,512,TabICL,3,"42,43,44",512,512,512,512,512,512,"{""<=50K"": 256, "">50K"": 256}",0.7021,0.0049,0.6967,0.7062,0.7093,0.0076,0.7047,0.7181,0.6588,0.0055,0.654,0.6648,0.2949,2.4708,2.7719,0.185,2.9569
adult,balanced_prototype_retrieval,Balanced Prototype Retrieval,8192,TabICL,3,"42,43,44",8192,8192,8192,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",0.6437,0.0045,0.6387,0.6474,0.7256,0.0013,0.7247,0.7271,0.6253,0.0033,0.6216,0.6277,0.3465,3.729,4.064,0.1869,4.2452
adult,balanced_random_subset,Balanced Random Subset,2048,TabICL,3,"42,43,44",2048,2048,2048,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",0.8155,0.0079,0.8064,0.8209,0.8295,0.0063,0.8237,0.8362,0.7792,0.0078,0.7704,0.7854,0.3375,1.8082,2.1456,0.0031,2.1487
adult,balanced_random_subset,Balanced Random Subset,512,TabICL,3,"42,43,44",512,512,512,512,512,512,"{""<=50K"": 256, "">50K"": 256}",0.7964,0.0082,0.787,0.8014,0.818,0.0039,0.8155,0.8225,0.761,0.0068,0.7532,0.7658,0.3606,2.6062,2.9976,0.0029,3.0097
adult,balanced_random_subset,Balanced Random Subset,8192,TabICL,3,"42,43,44",8192,8192,8192,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",0.8344,0.0215,0.815,0.8575,0.8293,0.0147,0.813,0.8414,0.7941,0.0138,0.78,0.8076,0.3849,3.5965,3.9814,0.0052,3.9869
adult,full_context,Full Context,full,TabICL,3,"42,43,44",39073,39073,39073,39073,39073,39073,"{""<=50K"": 29724, "">50K"": 9349}",0.8722,0.0006,0.8717,0.8729,0.7919,0.0028,0.7891,0.7946,0.8117,0.0017,0.81,0.8135,0.6723,28.1637,28.7849,0.0002,28.7851
adult,random_subset,Random Subset,2048,TabICL,3,"42,43,44",2048,2048,2048,2048,2048,2048,"{""<=50K"": 1559, "">50K"": 489}; {""<=50K"": 1583, "">50K"": 465}; {""<=50K"": 1590, "">50K"": 458}",0.8573,0.0043,0.8523,0.86,0.7668,0.0125,0.7528,0.7766,0.7873,0.0097,0.7761,0.7941,0.3802,1.8085,2.2889,0.0017,2.291
adult,random_subset,Random Subset,512,TabICL,3,"42,43,44",512,512,512,512,512,512,"{""<=50K"": 382, "">50K"": 130}; {""<=50K"": 389, "">50K"": 123}; {""<=50K"": 410, "">50K"": 102}",0.8438,0.0037,0.8402,0.8477,0.7358,0.0252,0.7068,0.7514,0.7592,0.0184,0.7381,0.7719,0.3661,2.6414,3.0325,0.0009,3.0334
adult,random_subset,Random Subset,8192,TabICL,3,"42,43,44",8192,8192,8192,8192,8192,8192,"{""<=50K"": 6200, "">50K"": 1992}; {""<=50K"": 6227, "">50K"": 1965}; {""<=50K"": 6262, "">50K"": 1930}",0.8654,0.0049,0.8598,0.8691,0.7874,0.0097,0.7801,0.7984,0.8038,0.0073,0.7975,0.8118,0.3884,3.596,3.9785,0.003,3.9818
